GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
203,21,allaboutcookies.org,org,46599,107792,allaboutcookies.org,org,203,22,46710,108336
204,22,fr.wikipedia.org,org,46555,101708,fr.wikipedia.org,org,202,21,46720,102653
205,7,fda.gov,gov,46465,99022,fda.gov,gov,204,7,46638,99697
206,23,networkadvertising.org,org,46323,109165,networkadvertising.org,org,211,25,46214,109688
207,131,yelp.com,com,46187,122509,yelp.com,com,212,133,46147,123104
208,132,sharepoint.com,com,46121,79236,sharepoint.com,com,206,131,46447,80148
209,133,sagepub.com,com,46061,93929,sagepub.com,com,208,132,46293,94652
210,24,hbr.org,org,46014,94401,hbr.org,org,207,23,46338,95487
211,9,themeforest.net,net,46004,111004,themeforest.net,net,209,9,46273,111591
212,4,sina.com.cn,cn,45961,116738,sina.com.cn,cn,216,4,45961,116690
213,25,unesco.org,org,45941,90344,unesco.org,org,210,24,46240,91087
214,134,goodreads.com,com,45935,104789,goodreads.com,com,213,134,46141,105337
215,135,baike.baidu.com,com,45862,139092,baike.baidu.com,com,218,138,45831,139032
216,136,britannica.com,com,45816,105833,britannica.com,com,215,136,45969,106493
217,137,samsung.com,com,45763,91631,samsung.com,com,214,135,46016,92594
218,138,nationalgeographic.com,com,45642,95958,nationalgeographic.com,com,217,137,45867,96549
219,26,cookiedatabase.org,org,45572,133234,cookiedatabase.org,org,220,26,45514,133269
220,139,tripadvisor.com,com,45560,104187,tripadvisor.com,com,219,139,45705,104616
221,140,theatlantic.com,com,45336,99573,theatlantic.com,com,221,140,45491,100333
222,1,mailchi.mp,mp,45154,93215,mailchi.mp,mp,222,1,45374,93946
223,141,pixabay.com,com,44847,101740,pixabay.com,com,223,141,45088,102311
224,7,princeton.edu,edu,44722,81850,princeton.edu,edu,224,7,44832,82109
225,142,hugedomains.com,com,44402,77728,hugedomains.com,com,227,143,44077,76476
226,1,business.site,site,44358,95180,business.site,site,225,1,44530,95885
227,143,canva.com,com,43924,92678,canva.com,com,226,142,44143,93211
228,144,jotform.com,com,43864,89717,jotform.com,com,228,144,44051,90282
229,27,iso.org,org,43863,71800,iso.org,org,229,27,44017,72243
230,145,investopedia.com,com,43803,101638,investopedia.com,com,230,145,43959,102521
231,146,bandcamp.com,com,43577,99834,bandcamp.com,com,231,146,43811,100592
232,147,netflix.com,com,43538,99411,netflix.com,com,232,147,43771,100445
233,28,de.wikipedia.org,org,43475,121518,de.wikipedia.org,org,233,28,43767,122849
234,148,youku.com,com,43434,119118,youku.com,com,234,148,43568,119162
235,149,nbcnews.com,com,43331,97498,nbcnews.com,com,238,151,43382,98168
236,8,whitehouse.gov,gov,43297,89744,whitehouse.gov,gov,239,8,43366,90384
237,29,cambridge.org,org,43296,88154,cambridge.org,org,236,29,43484,88924
238,150,kickstarter.com,com,43160,91696,kickstarter.com,com,237,150,43390,92376
239,151,marriott.com,com,42912,84069,marriott.com,com,241,153,43069,84555
240,152,groups.google.com,com,42907,79827,groups.google.com,com,240,152,43146,80258
241,153,godaddy.com,com,42892,85552,godaddy.com,com,243,154,42800,85372
242,9,epa.gov,gov,42751,91384,epa.gov,gov,242,9,42914,92066
243,154,booking.com,com,42572,94741,booking.com,com,245,156,42682,95272
244,10,usda.gov,gov,42549,93089,usda.gov,gov,248,10,42613,93861
245,155,openai.com,com,42545,89664,openai.com,com,247,157,42624,90185
246,156,quora.com,com,42526,96234,quora.com,com,244,155,42719,96863
247,30,worldbank.org,org,42501,81446,worldbank.org,org,246,30,42666,81934
248,157,fb.com,com,42308,88721,fb.com,com,249,158,42468,89195
249,158,taobao.com,com,42279,95503,taobao.com,com,254,162,42300,95506
250,159,scribd.com,com,42275,88945,scribd.com,com,251,159,42388,89450
251,160,redhat.com,com,42266,66820,redhat.com,com,252,160,42382,67093
252,161,healthline.com,com,42258,105219,healthline.com,com,253,161,42370,105801
253,5,fb.me,me,42114,84289,fb.me,me,250,5,42446,84964
254,7,google.co.uk,uk,41966,97283,google.co.uk,uk,255,7,42234,98087
255,162,livejournal.com,com,41868,89770,livejournal.com,com,257,163,41956,89959
256,2,gouv.fr,fr,41856,95281,gouv.fr,fr,256,2,42149,96683
257,163,outlook.live.com,com,41728,95145,outlook.live.com,com,235,149,43496,99172
258,164,skype.com,com,41709,86433,skype.com,com,258,164,41849,86758
259,165,example.com,com,41562,81549,example.com,com,259,165,41671,81693
260,31,mayoclinic.org,org,41408,98964,mayoclinic.org,org,260,31,41433,99529
261,166,163.com,com,41405,96627,163.com,com,263,168,41307,96395
262,167,huffpost.com,com,41402,92141,huffpost.com,com,261,166,41413,92596
263,168,mckinsey.com,com,41103,79526,mckinsey.com,com,262,167,41402,80217
264,169,stripe.com,com,41045,90634,stripe.com,com,268,171,41111,91080
265,170,economist.com,com,41008,81207,economist.com,com,264,169,41252,81921
266,32,change.org,org,40993,88168,change.org,org,265,32,41188,88905
267,171,businesswire.com,com,40980,82467,businesswire.com,com,266,170,41177,83373
268,172,discord.com,com,40863,89575,discord.com,com,269,172,40968,89914
269,33,weforum.org,org,40856,79711,weforum.org,org,267,33,41124,80566
270,173,statcounter.com,com,40821,99005,statcounter.com,com,270,173,40914,99317
271,8,columbia.edu,edu,40698,79685,columbia.edu,edu,271,8,40818,80070
272,174,youronlinechoices.com,com,40624,112241,youronlinechoices.com,com,272,174,40761,112951
273,34,pbs.org,org,40434,89338,pbs.org,org,274,34,40557,89919
274,175,eepurl.com,com,40398,88708,eepurl.com,com,273,175,40637,89489
275,176,usnews.com,com,40288,89485,usnews.com,com,275,176,40408,90115
276,177,plesk.com,com,40238,100647,plesk.com,com,281,179,40121,100418
277,178,web.whatsapp.com,com,40206,104022,web.whatsapp.com,com,279,178,40149,104052
278,35,arxiv.org,org,40165,74580,arxiv.org,org,276,35,40350,75180
279,9,academia.edu,edu,40069,79928,academia.edu,edu,277,9,40221,80369
280,179,translate.google.com,com,39965,78198,translate.google.com,com,278,177,40206,78697
281,10,umich.edu,edu,39956,79262,umich.edu,edu,285,10,40050,79589
282,36,ieee.org,org,39955,71622,ieee.org,org,280,36,40145,72107
283,180,mdpi.com,com,39937,79802,mdpi.com,com,282,180,40068,80526
284,181,outlook.office.com,com,39878,89189,outlook.office.com,com,286,183,39996,89348
285,182,indiatimes.com,com,39872,88621,indiatimes.com,com,283,181,40067,89307
286,11,noaa.gov,gov,39850,79939,noaa.gov,gov,287,11,39975,80452
287,37,plos.org,org,39788,77971,plos.org,org,288,37,39957,78515
288,183,deloitte.com,com,39744,74102,deloitte.com,com,284,182,40065,75057
289,184,akismet.com,com,39675,104900,akismet.com,com,292,186,39723,105120
290,185,indeed.com,com,39669,85207,indeed.com,com,289,184,39923,85953
291,12,state.gov,gov,39639,81314,state.gov,gov,291,12,39735,81801
292,186,theconversation.com,com,39587,83452,theconversation.com,com,290,185,39792,84123
293,187,foxnews.com,com,39341,86932,foxnews.com,com,293,187,39435,87504
294,11,yale.edu,edu,39291,77403,yale.edu,edu,296,11,39338,77878
295,188,wikihow.com,com,39256,86663,wikihow.com,com,294,188,39415,87134
296,189,fandom.com,com,39152,87322,fandom.com,com,295,189,39383,87995
297,190,cisco.com,com,39071,67737,cisco.com,com,298,191,39238,68252
298,191,biomedcentral.com,com,39062,77597,biomedcentral.com,com,297,190,39292,78263
299,192,psychologytoday.com,com,39055,86319,psychologytoday.com,com,300,193,39184,87015
